field_1,Lat.y.y,Long.y.y,Community1,Region,District,Community,Village_HH,Village_ODFHist,Village_GC,rvalue_1
1480,-1.010906,9.483085,NA,Northern,Kumbumgu,Gbullun Nyoring,12,1,R,2
1481,-1.012030114,9.48301,Gbullung,Northern,Kumbumgu,Gbulung South,135,0,U,2
1482,-1.013624865,9.486825,Gbullung,Northern,Kumbumgu,Gbulung Yagra Fong,117,0,U,2
1483,-1.000156156,9.513546,,Northern,Kumbumgu,Gingaani,83,0,U,2
1484,-0.9270773,9.601562,NA,Northern,Kumbumgu,Gmagmado,7.5,1,R,1
1485,-1.106017141,9.67773,Dalun,Northern,Kumbumgu,Golazoli,21,0,U,2
1486,-0.9270773,9.601562,NA,Northern,Kumbumgu,Gulugu,16.5,0,R,1
1487,-0.89895982,9.498303,Gupanarigu,Northern,Kumbumgu,Gumo,232,0,U,3
1488,-0.994235,9.513245,NA,Northern,Kumbumgu,Jaagirugu,10.5,1,R,2
1489,-0.9270773,9.601562,NA,Northern,Kumbumgu,Jakpemba 2,9,0,R,1
1490,-1.061276571,9.530556,Voggu,Northern,Kumbumgu,Jegbo,77,0,U,2
1491,-0.9270773,9.601562,NA,Northern,Kumbumgu,Kaptung,14,1,R,1
1492,-0.96831,9.43366,,Northern,Kumbumgu,Kokpeng,31,1,U,1
1493,-0.9613,9.4464,Gbullung,Northern,Kumbumgu,Kpalga-Nyoring,9,0,U,3
1494,-0.957841212,9.446432,Gupanarigu,Northern,Kumbumgu,Kpaliga,72,0,U,3
1495,-1.03224263,9.566701,NA,Northern,Kumbumgu,Kpalsogu,5.5,0,R,2
1496,-0.9102,9.4862,,Northern,Kumbumgu,Kpilo,67,0,U,3
1497,-0.959050554,9.555344,Kumbungu,Northern,Kumbumgu,Kpukpaligu Kukuo,35,0,U,2
1499,-1.166707021,9.83129,Dalun,Northern,Kumbumgu,Kuldaani,5,0,U,2
1500,-0.9270773,9.601562,NA,Northern,Kumbumgu,Kuleni,17,1,R,1
1501,-1.186297401,9.667113,Voggu,Northern,Kumbumgu,Kuli,97,0,U,2
1502,-0.9270773,9.601562,NA,Northern,Kumbumgu,Kumbaldo,6,1,R,1
1503,-0.938923694,9.554967,Kumbungu,Northern,Kumbumgu,Kumbungu Aflao,81,0,U,2
1504,-0.95109809,9.561277,Kumbungu,Northern,Kumbumgu,Kumbungu Nayili Fong,499,0,U,2
1505,-0.9270773,9.601562,NA,Northern,Kumbumgu,Kunbon,13,1,R,1
1507,-0.9270773,9.601562,NA,Northern,Kumbumgu,Kutig-Tindan,6.5,1,R,1
1508,-0.9270773,9.601562,NA,Northern,Kumbumgu,Lagu,12.5,1,R,1
1509,-0.9270773,9.601562,NA,Northern,Kumbumgu,Lalugli,13,0,R,1
1510,-0.96107,9.49491,Dalun,Northern,Kumbumgu,Limo,48,0,U,1
1511,-0.9270773,9.601562,NA,Northern,Kumbumgu,Liwalbu,15.5,1,R,1
1512,-1.073904718,9.748536,Dalun,Northern,Kumbumgu,Magni,12,0,U,2
1513,-0.9270773,9.601562,NA,Northern,Kumbumgu,Mangula 3,6,1,R,1
1514,-0.9270773,9.601562,NA,Northern,Kumbumgu,Mangula 4,8.5,1,R,1
1515,-0.915792275,9.468731,,Northern,Kumbumgu,Mbanaayili,237,0,U,3
1516,-0.9270773,9.601562,NA,Northern,Kumbumgu,Molzeigu,7,0,R,1
1517,-0.9270773,9.601562,NA,Northern,Kumbumgu,Momba/Magali,7,0,R,1
1518,-0.9270773,9.601562,NA,Northern,Kumbumgu,Nababli,10.5,1,R,1
1519,-0.9270773,9.601562,NA,Northern,Kumbumgu,Najil,5.5,1,R,1
1520,-0.9270773,9.601562,NA,Northern,Kumbumgu,Namalku,13.5,0,R,1
1521,-1.00872,9.59546,Voggu,Northern,Kumbumgu,Namdu Yipeligu,7,1,U,2
1522,-0.9270773,9.601562,NA,Northern,Kumbumgu,Nandere,32.5,1,R,1
1523,-0.9270773,9.601562,NA,Northern,Kumbumgu,Nasowea No. 3,5.5,1,R,1
1524,-0.9270773,9.601562,NA,Northern,Kumbumgu,Nateli,10.5,0,R,1
1525,-1.0488,9.6599,Dalun,Northern,Kumbumgu,Nawuni,68,0,U,2
1526,-0.952943957,9.55548,Kumbungu,Northern,Kumbumgu,Newtown,236,0,U,2
1527,-1.008620753,9.48905,Gbullung,Northern,Kumbumgu,Ngbanang,29,0,U,2
1528,-0.927674391,9.488335,,Northern,Kumbumgu,Nwodua,80,0,U,3
1529,-0.928638383,9.471067,,Northern,Kumbumgu,Nwogu,110,0,U,3
1530,-1.128422165,9.630895,Voggu,Northern,Kumbumgu,Puhimkura,11,0,U,1
1531,-0.9270773,9.601562,NA,Northern,Kumbumgu,Saliyado,7.5,1,R,1
1532,-1.162136646,9.688893,Voggu,Northern,Kumbumgu,Sheigbuni,20,0,U,1
1533,-1.076070385,9.725837,Dalun,Northern,Kumbumgu,Sheini,5,0,U,2
1534,-1.061064701,9.73012,Dalun,Northern,Kumbumgu,Singa Kabonaa Fong,90,0,U,2
1535,-1.060935091,9.733217,Dalun,Northern,Kumbumgu,Singa Nayili Fong,56,0,U,2
1536,-0.9270773,9.601562,NA,Northern,Kumbumgu,Sogu,6,1,R,1
1537,-0.9270773,9.601562,NA,Northern,Kumbumgu,Takpalb,17.5,1,R,1
1538,-0.9270773,9.601562,NA,Northern,Kumbumgu,Tambouku,21,0,R,1
1539,-0.914493554,9.552477,NA,Northern,Kumbumgu,Tibogunaayili,8.5,1,R,1
1540,-1.061749436,9.574416,Voggu,Northern,Kumbumgu,Tibung Gagbia,255,0,U,1
1541,-1.067904637,9.573895,Voggu,Northern,Kumbumgu,Tibung Lunsi Fong,255,0,U,1
1542,-1.065631454,9.574519,Voggu,Northern,Kumbumgu,Tibung Nayili Fong,255,0,U,1
1543,-1.093990302,9.604015,Voggu,Northern,Kumbumgu,Tibung Sandu,255,0,U,1
1544,-1.00074,9.63155,,Northern,Kumbumgu,Tindanyili,101,1,U,2
1545,-0.937520659,9.517015,,Northern,Kumbumgu,Tirnyoring,23,0,U,1
1546,-1.0166,9.7385,Dalun,Northern,Kumbumgu,Tolugu,85,0,U,1
1547,-0.9270773,9.601562,NA,Northern,Kumbumgu,Tombu,14.5,1,R,1
1548,-0.9270773,9.601562,NA,Northern,Kumbumgu,Ubalanorm,6,1,R,1
1549,-1.0179248,9.502498,NA,Northern,Kumbumgu,Vehekuga,7,1,R,1
1550,-0.998316308,9.51345,Gupanarigu,Northern,Kumbumgu,Vili,83,0,U,2
1551,-1.053461795,9.517445,Voggu,Northern,Kumbumgu,Voggu Bihinaa Yili,10,0,U,1
1552,-1.0344027,9.532212,NA,Northern,Kumbumgu,Voggu Bontingle,6.5,0,R,2
1553,-1.031428631,9.565939,Voggu,Northern,Kumbumgu,Voggu Kpalisogu,58,0,U,2
1554,-1.032652394,9.533241,Voggu,Northern,Kumbumgu,Voggu Liman Fong,65,0,U,2
1555,-1.033603256,9.533719,Voggu,Northern,Kumbumgu,Voggu Nayili Fong,65,0,U,2
1556,-0.9270773,9.601562,NA,Northern,Kumbumgu,Wudana Fong,16.5,0,R,1
1557,-0.9424633,9.559461,Kumbungu,Northern,Kumbumgu,Yagra Fong,95,0,U,2
1558,-0.95476997,9.562598,Kumbungu,Northern,Kumbumgu,Yitiligi Fong,26,0,U,2
1559,-1.137214875,9.676901,Voggu,Northern,Kumbumgu,Yuni,45,0,U,2
1560,-0.9270773,9.601562,NA,Northern,Kumbumgu,Yunyoranyiri East,17.5,1,R,1
1561,-0.9270773,9.601562,NA,Northern,Kumbumgu,Yunyoranyiri West,14.5,1,R,1
1562,-0.9270773,9.601562,NA,Northern,Kumbumgu,Za'Ari Nasigri,14,0,R,1
1563,-0.9270773,9.601562,NA,Northern,Kumbumgu,Za'Ari Nayilifong,13.5,0,R,1
1564,-0.946363931,9.562166,Kumbungu,Northern,Kumbumgu,Zaamigu Fong,220,0,U,2
1565,-0.9270773,9.601562,NA,Northern,Kumbumgu,Zambulugu Daasufong,25.5,0,R,1
1566,-0.9270773,9.601562,NA,Northern,Kumbumgu,Zambulugu Nayilifong,23.5,1,R,1
1567,-0.9270773,9.601562,NA,Northern,Kumbumgu,Zandua,26.5,0,R,1
1569,-0.969856098,9.566911,Zangbalung,Northern,Kumbumgu,Zangbalun No 1,145,0,U,2
1570,-0.969649993,9.564888,Zangbalung,Northern,Kumbumgu,Zangbalun No 2 Nayili Fong,130,0,U,2
1571,-0.953738872,9.565821,Kumbungu,Northern,Kumbumgu,Zogbeli Fong,75,0,U,2
1572,-0.937639435,9.578102,Kumbungu,Northern,Kumbumgu,Zugu,110,0,U,2
1573,-0.953720308,9.615096,Kumbungu,Northern,Kumbumgu,Zugu Daboguni,85,0,U,1
1603,-0.29223478,10.36136,NA,Northern,Mamprusi East,Adaribe,15,1,R,2
1604,-0.3041243,10.409379,NA,Northern,Mamprusi East,Baduri,19,1,R,2
1605,-0.3041243,10.409379,NA,Northern,Mamprusi East,Badurifong,19,1,R,2
1606,-0.27025188,10.591904,NA,Northern,Mamprusi East,Bangu,31.5,1,R,2
1609,-0.23824147,10.439428,NA,Northern,Mamprusi East,Banjam/Kuliganyaaga,7,1,R,1
1610,-0.55747352,10.47937,NA,Northern,Mamprusi East,Bantambari,18.5,1,R,1
1611,-0.562483333,10.447848,NA,Northern,Mamprusi East,Bililado,11,1,R,1
1612,-0.17743114,10.296709,NA,Northern,Mamprusi East,Billalugri,11.5,1,R,1
1613,-0.589457,10.354507,NA,Northern,Mamprusi East,Boayini-Bimobafong,34,1,NR,1
1614,-0.562483333,10.447848,NA,Northern,Mamprusi East,Boligatinga,9.5,1,R,1
1615,-0.22561312,10.594887,NA,Northern,Mamprusi East,Bombilla,24,1,R,2
1616,-0.50562886,10.471801,NA,Northern,Mamprusi East,Bongbini,23,0,R,2
1617,-0.210071667,10.318862,Gbintiri,Northern,Mamprusi East,Bounlabri,16,1,U,2
1618,-0.2801977,10.46534,NA,Northern,Mamprusi East,Braimahtinga,6.5,1,R,1
1619,-0.562483333,10.447848,NA,Northern,Mamprusi East,Bunbonzio No. 1,7.5,0,R,1
1620,-0.562483333,10.447848,NA,Northern,Mamprusi East,Bunbonzio No. 2,9.5,0,R,1
1621,-0.6075903,10.423278,NA,Northern,Mamprusi East,Buzulungu,7,0,R,2
1624,-0.0976047,10.305752,NA,Northern,Mamprusi East,Champomyili,26.5,0,R,2
1626,-0.562483333,10.447848,NA,Northern,Mamprusi East,Duboni,25.5,1,R,1
1627,-0.34381897,10.556517,NA,Northern,Mamprusi East,Eteili,20.5,1,R,2
1628,-0.25684275,10.515215,NA,Northern,Mamprusi East,Garezetinga,10,1,R,1
1629,-0.43431291,10.570412,NA,Northern,Mamprusi East,Gballa,5.5,1,R,1
1630,-0.2252363,10.393406,NA,Northern,Mamprusi East,Gbampaa 1,12,1,R,1
1631,-0.562483333,10.447848,NA,Northern,Mamprusi East,Gbandaa,16.5,1,R,1
1632,-0.24962751,10.3027,NA,Northern,Mamprusi East,Gbandabila,22,1,R,1
1633,-0.2384555,10.381981,NA,Northern,Mamprusi East,Gbandari,7,0,R,1
1634,-0.36806,10.528137,Gbintiri,Northern,Mamprusi East,Gbintri,432,0,U,3
1635,-0.34381897,10.556517,NA,Northern,Mamprusi East,Gold Coast/Kamamba,6,1,R,2
1637,-0.34381897,10.556517,NA,Northern,Mamprusi East,Jawari,17,1,R,2
1638,-0.222946667,10.326158,Gbintiri,Northern,Mamprusi East,Jimbali,13,1,U,2
1639,-0.34381897,10.556517,NA,Northern,Mamprusi East,Junjung,14.5,0,R,2
1640,-0.21666462,10.305537,NA,Northern,Mamprusi East,Kabuari,12,1,R,1
1641,-0.589255,10.416337,NA,Northern,Mamprusi East,Kasape,22.5,0,R,2
1642,-0.589255,10.416337,NA,Northern,Mamprusi East,Kasape Number 2,13,0,R,2
1643,-0.23544479,10.306899,NA,Northern,Mamprusi East,Katanbugri,9.5,1,R,1
1644,-0.562483333,10.447848,NA,Northern,Mamprusi East,Kpalgu,17.5,1,R,1
1645,-0.0767014,10.318855,NA,Northern,Mamprusi East,Kpangali,9,1,R,1
1646,-0.27728,10.54968,NA,Northern,Mamprusi East,Kpikparigbini,12.5,0,R,1
1647,-0.562483333,10.447848,NA,Northern,Mamprusi East,Kufori 1,13,1,R,1
1648,-0.12590513,10.34313,NA,Northern,Mamprusi East,Kufori 2,7.5,1,R,1
1649,-0.562483333,10.447848,NA,Northern,Mamprusi East,Kufori 3,17,1,R,1
1650,-0.27728,10.54968,NA,Northern,Mamprusi East,Kukpangbini,31.5,1,R,1
1651,-0.246458333,10.332742,Gbintiri,Northern,Mamprusi East,Kwalik,36,1,U,2
1653,-0.25198,10.474142,Sakogu ,Northern,Mamprusi East,Lafron,24,1,U,1
1657,-0.52994,10.330067,Langbinsi,Northern,Mamprusi East,Langbinsi,834,0,U,1
1658,-0.20817024,10.58326,NA,Northern,Mamprusi East,Lebzinga,14.5,1,R,1
1659,-0.562483333,10.447848,NA,Northern,Mamprusi East,Lumu,7.5,1,R,1
1661,-0.562483333,10.447848,NA,Northern,Mamprusi East,Mangula 2,20.5,0,R,1
1664,-0.1658815,10.309563,NA,Northern,Mamprusi East,Meimbena,16.5,1,R,2
1666,-0.3218347,10.329639,NA,Northern,Mamprusi East,Mozio No. 1,14,1,R,1
1667,-0.323625,10.322051,NA,Northern,Mamprusi East,Mozio No.2,11,1,R,1
1668,-0.21111926,10.294381,NA,Northern,Mamprusi East,Naborteli,15,1,R,1
1669,-0.0464172,10.323435,NA,Northern,Mamprusi East,Nagbai East,16,1,R,1
1670,-0.04761732,10.322807,NA,Northern,Mamprusi East,Nagbai West,7.5,0,R,1
1671,-0.34878,10.465862,Nalerigu,Northern,Mamprusi East,Nagboo,256,0,U,2
1673,-0.21666462,10.305537,NA,Northern,Mamprusi East,Nameboku Kuraa,13.5,1,R,1
1675,-0.38854,10.576403,Nalerigu,Northern,Mamprusi East,Namori ,16,1,U,1
1677,-0.333506667,10.447987,Nalerigu,Northern,Mamprusi East,Noriloabi,9,1,U,2
1678,-0.46168258,10.516902,NA,Northern,Mamprusi East,Nyingari,19.5,0,R,2
1679,-0.619016667,10.471843,Langbinsi,Northern,Mamprusi East,Poanaayiri ,17,1,U,1
1680,-0.3173015,10.331967,NA,Northern,Mamprusi East,Poringong,12.5,1,R,1
1681,-0.562483333,10.447848,NA,Northern,Mamprusi East,Saboba a,16.5,0,R,1
1682,-0.03290367,10.318347,NA,Northern,Mamprusi East,Sagurikpong,17.5,1,R,1
1683,-0.270005,10.578133,Sakogu ,Northern,Mamprusi East,Sakogu,431,0,U,2
1684,-0.623393333,10.471855,Langbinsi,Northern,Mamprusi East,Samni,195,0,U,1
1685,-0.562483333,10.447848,NA,Northern,Mamprusi East,Sasamango,14.5,0,R,1
1686,-0.562483333,10.447848,NA,Northern,Mamprusi East,Simniboma,21,1,R,1
1688,-0.260728333,10.48864,NA,Northern,Mamprusi East,Sumanitinga,9.5,1,R,1
1691,-0.587485,10.468072,NA,Northern,Mamprusi East,Tangbini,14.5,1,R,1
1692,-0.27039289,10.410642,NA,Northern,Mamprusi East,Tintariga No. 4,27,1,R,1
1693,-0.27039289,10.410642,NA,Northern,Mamprusi East,Tintariga Number 1,23,0,R,1
1694,-0.3660525,10.523254,NA,Northern,Mamprusi East,Toak,17,1,R,3
1695,-0.2268581,10.471126,NA,Northern,Mamprusi East,Toak 3,8,1,R,1
1696,-0.32202627,10.471195,NA,Northern,Mamprusi East,Tubzia,16.5,1,R,1
1700,-0.562483333,10.447848,NA,Northern,Mamprusi East,Uja Kuraa,5.5,0,R,1
1701,-0.562483333,10.447848,NA,Northern,Mamprusi East,Ulanjado a,5,1,R,1
1702,-0.562483333,10.447848,NA,Northern,Mamprusi East,Waakwutinga,9,1,R,1
1703,-0.0794143,10.330853,NA,Northern,Mamprusi East,Waburi,19.5,1,R,1
1704,-0.2103356,10.351077,NA,Northern,Mamprusi East,Wangai,17,1,R,1
1705,-0.537125,10.330648,Langbinsi,Northern,Mamprusi East,Wundua,337,0,U,1
1706,-0.2581746,10.591475,NA,Northern,Mamprusi East,Wunzugutinga,17,1,R,2
1707,-0.19906463,10.321885,NA,Northern,Mamprusi East,Yankanzia,15,1,R,2
1708,-0.28675712,10.569948,NA,Northern,Mamprusi East,Yapala,34,0,R,2
1709,-0.412433333,10.397967,NA,Northern,Mamprusi East,Zandua Number 2,19.5,0,R,1
1710,-0.412433333,10.397967,NA,Northern,Mamprusi East,Zandua Number 3,18.5,0,R,1
1711,-0.2766814,10.387461,NA,Northern,Mamprusi East,Ziikaya,16.5,1,R,1
1712,-0.27766667,10.533964,NA,Northern,Mamprusi East,Zogiligu,26.5,0,R,1
1713,-0.27766667,10.533964,NA,Northern,Mamprusi East,Zogilikura,27.5,1,R,1
1721,-0.084901898,9.354127,Sang,Northern,Mion, Tajudo a,32,0,U,1
1722,-0.12115138,9.536552,,Northern,Mion,Achinayili,20,1,U,1
1725,-0.241599675,9.313947,Kpabia,Northern,Mion,Baduli,14,1,U,2
1726,-0.134410586,9.501813,Sang,Northern,Mion,Bagmark a,56,1,U,1
1727,-0.125007092,9.50231,Sang,Northern,Mion,Bagmark b,38,1,U,1
1728,-0.141076968,9.500661,Sang,Northern,Mion,Bagmark c,21,1,U,1
1729,-0.061298418,9.382244,,Northern,Mion,Begindo,8,1,U,3
1731,-0.072160255,9.58252,,Northern,Mion,Bilikibiyab,9,1,U,1
1733,-0.048009814,9.380258,Yendi,Northern,Mion,Binangmando,112,0,U,1
1736,-0.075414936,9.546172,Sang,Northern,Mion,Bosildo,28,1,U,1
1746,-0.075897049,9.554166,,Northern,Mion,Frigmado,65,1,U,1
1747,0.114578333,9.103987,Kukuhi,Northern,Mion,Gambuga Sogon,26,1,U,1
1753,-0.257628215,9.671419,Kpatinga,Northern,Mion,Gungoligu,42,0,U,2
1754,-0.054266975,9.756892,,Northern,Mion,Jabilajo No.1,19,1,U,1
1755,-0.046950412,9.769283,,Northern,Mion,Jabilajo No.2,157,1,U,1
1756,-0.09741689,9.481386,Sang,Northern,Mion,Jagando b,19,1,U,3
1764,-0.099410643,9.617165,Malzeri,Northern,Mion,Kambondo,15,0,U,1
1769,-0.064784885,9.409553,Sang,Northern,Mion,Kojodo,9,1,U,3
1771,-0.062732399,9.283303,Sang,Northern,Mion,Kpachibiliyili,83,1,U,1
1774,-0.104847,9.727342,Malzeri,Northern,Mion,Kpandaya,5,1,U,3
1775,-0.157265794,9.735437,Sang,Northern,Mion,Kpumale,86,1,U,2
1783,-0.05863779,9.432601,Yendi,Northern,Mion,Kulkpeniduli,215,1,U,3
1787,-0.127361876,9.290674,Sang,Northern,Mion,Lamarkdo a,30,1,U,1
1791,-0.051790886,9.272416,Sang,Northern,Mion,Lijobilibo,60,1,U,1
1792,-0.042916682,9.272996,,Northern,Mion,Liwalibo,15,0,U,1
1794,-0.097509112,9.297587,Sang,Northern,Mion,Macheliyili a,108,1,U,1
1797,-0.091423151,9.52008,,Northern,Mion,Makonyili,10,0,U,1
1799,-0.068229836,9.290266,Sang,Northern,Mion,Manyini,78,1,U,1
1801,-0.105507232,9.624522,Malzeri,Northern,Mion,Mawundo,15,0,U,1
1803,-0.061519275,9.38212,Yendi,Northern,Mion,Montondo,78,1,U,3
1805,-0.090977667,9.346042,,Northern,Mion,Mubeedo,32,1,U,1
1808,-0.051999128,9.395131,,Northern,Mion,Namoni,18,1,U,3
1811,-0.061411671,9.273048,Sang,Northern,Mion,Napondo,25,1,U,1
1813,-0.098670213,9.613232,,Northern,Mion,Nayinkundo,25,0,U,1
1814,-0.093944172,9.597437,,Northern,Mion,Niwurindo,197,0,U,1
1815,-0.147599384,9.736629,,Northern,Mion,Nkwanta,30,1,U,2
1821,-0.094522138,9.73666,,Northern,Mion,Sakbig,14,1,U,3
1822,-0.068903343,9.413251,Yendi,Northern,Mion,Salmanjado,14,1,U,3
1823,-0.487887039,9.48423,Jimle,Northern,Mion,Sanchibu,11,1,U,1
1825,-0.077216733,9.298679,Sang,Northern,Mion,Sobitido,78,0,U,1
1826,-0.195852387,9.721123,Kpatinga,Northern,Mion,Sukaya,91,0,U,1
1829,-0.084365702,9.361777,Sang,Northern,Mion,Tajudo b,11,0,U,1
1837,-0.103555177,9.733738,,Northern,Mion,Tinsung Yepala ,10,1,U,3
1839,-0.110392025,9.753097,Sang,Northern,Mion,Tuunayili,52,1,U,3
1840,-0.454081336,9.407344,Jimle,Northern,Mion,Tuya,26,1,U,2
1841,-0.042708707,9.24249,Sang,Northern,Mion,Wagambo a (Wasambo) ,35,1,U,1
1842,-0.052200428,9.246496,Sang,Northern,Mion,Wagambo b ,47,1,U,1
1845,-0.047880203,9.300415,,Northern,Mion,Wayodo,14,0,U,1
1852,-0.089076386,9.420875,Sang,Northern,Mion,Zugbei,13,1,U,3
1855,-0.009206667,9.11,,Northern,Nanumba North,Achenaya ,17,0,U,3
1857,0.013075,9.156312,,Northern,Nanumba North,Achiriyili,101,0,U,3
1859,-0.1171,9.113077,NA,Northern,Nanumba North,Amaligaya,12.5,0,R,1
1860,-0.177255,8.945293,Varibiegu,Northern,Nanumba North,Bachado,30,0,U,2
1861,-0.194051914,9.094328,NA,Northern,Nanumba North,Bagjoe,28,1,R,1
1863,0.041713333,8.863152,Kakuhi,Northern,Nanumba North,Battorya,55,0,U,3
1868,-0.156003333,9.082142,NA,Northern,Nanumba North,Blemado,36,1,R,1
1869,0.008536527,9.13926,,Northern,Nanumba North,Boariyili,109,0,U,3
1870,0.044518333,8.938793,Gmantambu,Northern,Nanumba North,Bolni No. 1,59,1,U,1
1871,0.05151458,8.929162,Gmantambu,Northern,Nanumba North,Bolni No. 2,90,1,U,1
1872,0.034686667,8.939475,Gmantambu,Northern,Nanumba North,Bolni No. 3,60,1,U,1
1873,-0.00079,9.235837,Darikum,Northern,Nanumba North,Bonboni,24,1,U,1
1876,-0.159511667,9.049122,Variebegu,Northern,Nanumba North,Daboli,61,1,U,1
1877,0.021256667,9.218338,,Northern,Nanumba North,Dagmayido,88,0,U,3
1878,-0.185965093,8.944533,Varibiegu,Northern,Nanumba North,Deeni,61,0,U,2
1879,-0.013723333,8.931077,,Northern,Nanumba North,Demonayili,125,0,U,3
1881,0.020901667,9.230768,,Northern,Nanumba North,Duni No.2 ,20,0,U,3
1885,-0.306963333,8.747407,NA,Northern,Nanumba North,Gbanguli-Kura,24,0,R,1
1886,-0.285778333,8.869322,NA,Northern,Nanumba North,Ghanaya,8.5,0,R,2
1887,0.133261667,8.929812,Nabanga,Northern,Nanumba North,Gnoribogu,70,1,U,1
1889,0.015875,9.052042,NA,Northern,Nanumba North,Gundow,30,1,R,1
1890,0.015875,9.052042,NA,Northern,Nanumba North,Gundow Number 2,25,1,R,1
1891,0.01261,9.16016,,Northern,Nanumba North,Gunguni,95,0,U,2
1893,-0.187927329,8.673389,,Northern,Nanumba North,Jagbojado,52,0,U,2
1894,0.109236667,8.958297,Nabanga,Northern,Nanumba North,Jagrido,76,1,U,1
1895,-0.187438333,8.977782,NA,Northern,Nanumba North,Jagudo,27,1,R,1
1897,-0.066322977,9.113006,Varibiegu,Northern,Nanumba North,Jakpumba No. 1,51,1,U,1
1898,-0.05267018,9.106612,Varibiegu,Northern,Nanumba North,Jakpumba No. 2,57,1,U,1
1899,-0.189313333,8.672915,NA,Northern,Nanumba North,Jangbojado,19,1,R,2
1901,-0.272287841,8.630002,,Northern,Nanumba North,Jayimdo ,31,0,U,2
1902,0.005333333,9.248933,,Northern,Nanumba North,Jinjinabani,101,0,U,3
1904,0.061783333,9.033517,NA,Northern,Nanumba North,Juasheya,7.5,0,R,1
1908,-0.18717016,9.008808,NA,Northern,Nanumba North,Kakpande,26,1,R,1
1909,-0.01024522,8.982204,Variebegu,Northern,Nanumba North,Kakpiriya,12,1,U,3
1914,-0.165866342,8.953703,Varibiegu,Northern,Nanumba North,Katrijeli,90,0,U,2
1915,-0.025375,9.245622,Darikum,Northern,Nanumba North,Kolbedo No.1,36,1,U,1
1917,-0.035638333,9.10818,,Northern,Nanumba North,Koraya ,101,0,U,1
1918,-0.316403333,8.722218,NA,Northern,Nanumba North,Kotokoli Kura,8.5,0,R,1
1920,-0.19809536,9.019133,NA,Northern,Nanumba North,Kpaje,14,1,R,1
1926,-0.020660817,8.976639,,Northern,Nanumba North,Kumkpendo,32,0,U,3
1929,0.020468333,9.178365,,Northern,Nanumba North,Lanja,200,0,U,3
1933,-0.212431667,8.659352,NA,Northern,Nanumba North,Lijenlido,9,1,R,2
1935,-0.171775845,8.997473,,Northern,Nanumba North,Mempeasem,45,0,U,1
1942,-0.188205,8.981668,Varibiegu,Northern,Nanumba North,Nakpando,30,1,U,1
1944,-0.188236667,8.981793,NA,Northern,Nanumba North,Nankpando,17,1,R,1
1945,-0.17138,8.997712,NA,Northern,Nanumba North,Napka Mempeasem,26.5,1,R,1
1946,-0.092147441,8.950958,,Northern,Nanumba North,Nasiwani,87,0,U,3
1949,0.066856667,8.955457,Gmantambu,Northern,Nanumba North,Njambaya / Njambado,24,1,U,1
1950,0.075291667,9.017115,,Northern,Nanumba North,Nkrudo ,42,0,U,1
1953,-0.036756667,9.085338,NA,Northern,Nanumba North,Nyolakani,41,1,R,1
1954,-0.021762654,9.198133,,Northern,Nanumba North,Obondo ,70,0,U,1
1956,-0.191308333,9.020427,NA,Northern,Nanumba North,Onikpildo,17.5,1,R,1
1958,-0.01781,8.925425,,Northern,Nanumba North,Pusuga ,53,0,U,3
1960,0.18324,8.976428,NA,Northern,Nanumba North,Salinayili Number 1,25.5,1,R,1
1961,-0.041873095,9.144613,,Northern,Nanumba North,Sheini,22,0,U,1
1962,-0.035083679,9.146088,,Northern,Nanumba North,Sheini 2,22,0,U,1
1963,-0.033901667,9.1463,Kukuhi,Northern,Nanumba North,Shihini,34,1,U,1
1966,0.079806667,8.968037,Nabanga,Northern,Nanumba North,Subure No. 2,54,1,U,1
1969,0.10849183,8.957657,NA,Northern,Nanumba North,Tagmado,18.5,1,R,1
1972,-0.152925,9.044348,NA,Northern,Nanumba North,Terigu,5.5,1,R,1
1975,0.137043333,8.969288,Nabanga,Northern,Nanumba North,Tivorini,27,1,U,1
1976,-0.086006667,8.72927,NA,Northern,Nanumba North,Tonaayili,18.5,1,R,2
1978,-0.086006667,8.72927,NA,Northern,Nanumba North,Tonayili Number 2,5.5,1,R,2
1979,-0.013843333,9.1425,,Northern,Nanumba North,Tong,56,0,U,1
1981,-0.019035,9.175592,Dakikum,Northern,Nanumba North,Voasi-Afayili,10,1,U,2
1983,-0.110425386,8.715894,,Northern,Nanumba North,Wudomeabra,75,0,U,2
1986,0.0898,8.5654,Sunkuli,Northern,Nanumba South,Agbedito,120,0,U,1
1987,0.05450236,8.535044,NA,Northern,Nanumba South,Apurusaya,15,0,R,1
1989,0.035213172,8.807551,,Northern,Nanumba South,Banvim,32,0,U,1
1990,0.03528,8.807475,NA,Northern,Nanumba South,Banvim-Kpalga,8.5,1,R,1
1991,0.0804223,8.554357,NA,Northern,Nanumba South,Basarekura,11.5,1,R,1
1992,-0.148461667,8.574292,NA,Northern,Nanumba South,Bongolobu,9.5,1,R,1
1993,-0.07705,8.552963,NA,Northern,Nanumba South,Chando,6,0,R,1
1994,-0.0344,8.63459,Sunkuli,Northern,Nanumba South,Dabarini,13,1,U,3
1995,-0.163321667,8.565105,NA,Northern,Nanumba South,Dambado,16,1,R,1
1996,-0.219241667,8.59074,NA,Northern,Nanumba South,Falakugmado 1,17,1,R,1
1997,0.008476667,8.904652,,Northern,Nanumba South,Ganguyili,32,0,U,3
1999,0.07548461,8.53112,NA,Northern,Nanumba South,Gbedeke,25,0,R,1
